t,x,v,a,id,lane,oldLane,pos,event,Vehicle
0,0,0,0,0,0,-1,1700,lane info,No vehicle yet
0,0,0,0,0,1,-1,300,lane info,No vehicle yet
0,0,0,0,0,2,-1,1000,lane info,No vehicle yet
0,0,0,0,0,3,-1,1700,lane info,No vehicle yet
0,0,0,0,0,4,-1,300,lane info,No vehicle yet
0,0,0,0,0,5,-1,1000,lane info,No vehicle yet
0,0,0,0,0,6,-1,1700,lane info,No vehicle yet
0,0,0,0,0,7,-1,300,lane info,No vehicle yet
2.676148785699183,0,33.333333333333336,0,300,-1,-1,0,start,electric car
2.676148785699183,0,33.333333333333336,0,300,6,-1,0,enter lane,electric car
3,10.8,33.33338385267172,0.0003119910388454488,300,6,-1,10.8,timer,electric car
3.230390714238057,0,33.333333333333336,0,600,-1,-1,0,start,electric car
3.230390714238057,0,33.333333333333336,0,600,0,-1,0,enter lane,electric car
3.692809161787885,0,33.333333333333336,0,0,-1,-1,0,start,car
3.692809161787885,0,33.333333333333336,0,0,3,-1,0,enter lane,car
4,44.13,33.33417753256191,0.0012753687415322402,300,6,-1,44.13,timer,electric car
4,25.65,33.333497284055824,0.0004260622254014733,600,0,-1,25.65,timer,electric car
4,10.24,33.33334510825625,7.66619407581416e-05,0,3,-1,10.24,timer,car
5,77.46,33.335934590154785,0.0022387464442190316,300,6,-1,77.46,timer,electric car
5,58.98,33.33420015052026,0.0009796707034744154,600,0,-1,58.98,timer,electric car
5,43.57,33.33354654921256,0.0003262199718645464,0,3,-1,43.57,timer,car
5.2899511914613875,0,33.333333333333336,0,601,-1,-1,0,start,car
5.2899511914613875,0,33.333333333333336,0,601,0,-1,0,enter lane,car
5.919902468158022,0,33.333333333333336,0,301,-1,-1,0,start,HGV
5.919902468158022,0,33.333333333333336,0,301,6,-1,0,enter lane,HGV
6,110.8,33.33865502545035,0.0032021241469058228,300,6,-1,110.8,timer,electric car
6,92.32,33.335456625462776,0.0015332791815473577,600,0,-1,92.32,timer,electric car
6,76.9,33.33399754819998,0.0005757780029709513,0,3,-1,76.9,timer,car
6,23.67,33.33345600896716,0.0003455414116599263,601,0,-1,23.67,timer,car
6,2.67,33.33333484750645,3.780823402918764e-05,301,6,-1,2.67,timer,HGV
6.62154235119354,0,33.333333333333336,0,1,-1,-1,0,start,car
6.62154235119354,0,33.333333333333336,0,1,3,-1,0,enter lane,car
7,144.14,33.3423388384486,0.004165501849592614,300,6,-1,144.14,timer,electric car
7,125.66,33.337266708883355,0.0020868876596202997,600,0,-1,125.66,timer,electric car
7,110.24,33.33469810521851,0.0008253360340773561,0,3,-1,110.24,timer,car
7,57.0,33.33404487267407,0.0008321860021509697,601,0,-1,57.0,timer,car
7,36.0,33.33360866946749,0.0005098356880558413,301,6,-1,36.0,timer,HGV
7,12.62,33.333336000008586,1.4092331116053721e-05,1,3,-1,12.62,timer,car
8,177.48,33.346986029149534,0.005128879552279406,300,6,-1,177.48,timer,electric car
8,159.0,33.33963040078201,0.0026404961376932418,600,0,-1,159.0,timer,electric car
8,143.58,33.33564822026813,0.001074894065183761,0,3,-1,143.58,timer,car
8,90.33,33.33512038097147,0.001318830592642013,601,0,-1,90.33,timer,car
8,69.33,33.334354518882556,0.000981863142082495,301,6,-1,69.33,timer,HGV
8,45.95,33.33336871044817,5.1328548062643724e-05,1,3,-1,45.95,timer,car
9,210.83,33.35259659755316,0.006092257254966197,300,6,-1,210.83,timer,electric car
9,192.34,33.34254770115874,0.003194104615766184,600,0,-1,192.34,timer,electric car
9,176.92,33.33684789334887,0.0013244520962901658,0,3,-1,176.92,timer,car
9,123.67,33.33668253385936,0.0018054751831330562,601,0,-1,123.67,timer,car
9,102.66,33.33557239575165,0.0014538905961091486,301,6,-1,102.66,timer,HGV
9,79.28,33.3334386571047,8.856476500923374e-05,1,3,-1,79.28,timer,car
9.022868397361487,0,33.333333333333336,0,602,-1,-1,0,start,electric car
9.022868397361487,0,33.333333333333336,0,602,0,-1,0,enter lane,electric car
9.162019855111373,0,33.333333333333336,0,302,-1,-1,0,start,electric car
9.162019855111373,0,33.333333333333336,0,302,6,-1,0,enter lane,electric car
10,244.18,33.35917054365947,0.007055634957652988,300,6,-1,244.18,timer,electric car
10,225.68,33.34601861001354,0.0037477130938391263,600,0,-1,225.68,timer,electric car
10,210.26,33.33829712446071,0.0015740101273965705,0,3,-1,210.26,timer,car
10,157.01,33.33873133133774,0.0022921197736240993,601,0,-1,157.01,timer,car
10,136.0,33.33726230007477,0.0019259180501358022,301,6,-1,136.0,timer,HGV
10,112.61,33.33354583997818,0.00012580098195582375,1,3,-1,112.61,timer,car
10,32.57,33.33333200563093,-2.7175508409470337e-06,602,0,-1,32.57,timer,electric car
10,27.93,33.33345992346555,0.0003021315790857622,302,6,-1,27.93,timer,electric car
10.375594078188218,0,33.333333333333336,0,2,-1,-1,0,start,car
10.375594078188218,0,33.333333333333336,0,2,3,-1,0,enter lane,car
11,277.54,33.36670786746846,0.00801901266033978,300,6,-1,277.54,timer,electric car
11,259.03,33.35004312734641,0.004301321571912068,600,0,-1,259.03,timer,electric car
11,243.6,33.33999591360366,0.0018235681585029753,0,3,-1,243.6,timer,car
11,190.35,33.34126677340661,0.0027787643641151425,601,0,-1,190.35,timer,car
11,169.34,33.339424231851915,0.002397945504162456,301,6,-1,169.34,timer,HGV
11,145.94,33.333690259068604,0.00016303719890241376,1,3,-1,145.94,timer,car
11,65.9,33.33332789750443,-5.498702155272483e-06,602,0,-1,65.9,timer,electric car
11,61.26,33.33394232875453,0.0006626789988887904,302,6,-1,61.26,timer,electric car
11,20.81,33.33345057272957,0.00037552301200147306,2,3,-1,20.81,timer,car
11.151718317072431,0,33.333333333333336,0,603,-1,-1,0,start,car
11.151718317072431,0,33.333333333333336,0,603,0,-1,0,enter lane,car
12,310.91,33.37520856898015,0.008982390363026572,300,6,-1,310.91,timer,electric car
12,292.38,33.35462125315736,0.00485493004998501,600,0,-1,292.38,timer,electric car
12,276.94,33.34194426077771,0.00207312618960938,0,3,-1,276.94,timer,car
12,223.69,33.344288860065966,0.003265408954606186,601,0,-1,223.69,timer,car
12,202.68,33.34205819108309,0.00286997295818911,301,6,-1,202.68,timer,HGV
12,179.27,33.333871914375976,0.00020027341584900378,1,3,-1,179.27,timer,car
12,99.24,33.33332100822662,-8.279853469597932e-06,602,0,-1,99.24,timer,electric car
12,94.59,33.33478528146332,0.0010232264186918185,302,6,-1,94.59,timer,electric car
12,54.14,33.334126799978094,0.0009769314850535096,2,3,-1,54.14,timer,car
12,28.28,33.33351932258247,0.0004385082287574661,603,0,-1,28.28,timer,car
12.664969921962488,0,33.333333333333336,0,303,-1,-1,0,start,car
12.664969921962488,0,33.333333333333336,0,303,6,-1,0,enter lane,car
13,344.29,33.38460167531393,0.009575974364706707,300,6,-1,344.29,timer,electric car
13,325.74,33.359752987446385,0.0054085385280579525,600,0,-1,325.74,timer,electric car
13,310.28,33.344142165982866,0.002322684220715785,0,3,-1,310.28,timer,car
13,257.04,33.34779759131582,0.003752053545097229,601,0,-1,257.04,timer,car
13,236.02,33.3451641777683,0.003342000412215763,301,6,-1,236.02,timer,HGV
13,212.6,33.334090805900296,0.0002375096327955938,1,3,-1,212.6,timer,car
13,132.57,33.3333113377975,-1.106100478392338e-05,602,0,-1,132.57,timer,electric car
13,127.93,33.33598878159191,0.0013837738384948467,302,6,-1,127.93,timer,electric car
13,87.47,33.33540443569967,0.001578339958105546,2,3,-1,87.47,timer,car
13,61.61,33.334216299335054,0.0009554452764184475,603,0,-1,61.61,timer,car
13,11.17,33.3333937198228,0.0003604839888925635,303,6,-1,11.17,timer,car
13.164229501390373,0,33.333333333333336,0,3,-1,-1,0,start,car
13.164229501390373,0,33.333333333333336,0,3,3,-1,0,enter lane,car
13.676996357050477,0,33.333333333333336,0,604,-1,-1,0,start,car
13.676996357050477,0,33.333333333333336,0,604,0,-1,0,enter lane,car
14,377.68,33.39417764967864,0.009575974364706707,300,6,-1,377.68,timer,electric car
14,359.11,33.3654273012622,0.005851641613230998,600,0,-1,359.11,timer,electric car
14,343.63,33.34658962921914,0.0025722422518221896,0,3,-1,343.63,timer,car
14,290.39,33.35179296715616,0.004238698135588272,601,0,-1,290.39,timer,car
14,269.37,33.348742167843525,0.003809261553995095,301,6,-1,269.37,timer,HGV
14,245.93,33.33434693364157,0.0002747458497421838,1,3,-1,245.93,timer,car
14,165.91,33.33329888621706,-1.384215609824883e-05,602,0,-1,165.91,timer,electric car
14,161.27,33.33755282914031,0.001744321258297875,302,6,-1,161.27,timer,electric car
14,120.8,33.337283479894296,0.0021797484311575827,2,3,-1,120.8,timer,car
14,94.95,33.3354302131353,0.0014723823240794288,603,0,-1,94.95,timer,car
14,44.5,33.334292191312706,0.0014364589909107446,303,6,-1,44.5,timer,car
14,27.86,33.33340779255534,0.00017818102488226906,3,3,-1,27.86,timer,car
14,10.77,33.33335579256949,0.00013906490931522928,604,0,-1,10.77,timer,car
15,411.08,33.40375362404335,0.009575974364706707,300,6,-1,411.08,timer,electric car
15,392.48,33.371278942875435,0.005851641613230998,600,0,-1,392.48,timer,electric car
15,376.98,33.34923911909856,0.002667775352527468,0,3,-1,376.98,timer,car
15,323.74,33.35627498758699,0.004725342726079316,601,0,-1,323.74,timer,car
15,302.72,33.35255142939752,0.003809261553995095,301,6,-1,302.72,timer,HGV
15,279.26,33.33464029759978,0.0003119820666887738,1,3,-1,279.26,timer,car
15,199.24,33.3332836534853,-1.6623307412574278e-05,602,0,-1,199.24,timer,electric car
15,194.61,33.33947742410851,0.002104868678100903,302,6,-1,194.61,timer,electric car
15,154.14,33.33976393256198,0.0027811569042096194,2,3,-1,154.14,timer,car
15,128.29,33.33716106398321,0.00198931937174041,603,0,-1,128.29,timer,car
15,77.84,33.33626663780463,0.0025124339929289254,303,6,-1,77.84,timer,car
15,61.19,33.33369257044215,0.0003913747487319239,3,3,-1,61.19,timer,car
15,44.1,33.33371012580836,0.0005696015684233172,604,0,-1,44.1,timer,car
15.224808255569043,0,33.333333333333336,0,304,-1,-1,0,start,electric car
15.224808255569043,0,33.333333333333336,0,304,6,-1,0,enter lane,electric car
16,444.49,33.41332959840805,0.009575974364706707,300,6,-1,444.49,timer,electric car
16,425.85,33.37713058448867,0.005851641613230998,600,0,-1,425.85,timer,electric car
16,410.33,33.35190689445109,0.002667775352527468,0,3,-1,410.33,timer,car
16,357.1,33.361071944444184,0.004803182108146598,601,0,-1,357.1,timer,car
16,336.08,33.35636069095152,0.003809261553995095,301,6,-1,336.08,timer,HGV
16,312.59,33.334970897774944,0.0003492182836353638,1,3,-1,312.59,timer,car
16,232.57,33.33326563960224,-1.9404458726899727e-05,602,0,-1,232.57,timer,electric car
16,227.96,33.34176256649651,0.0024654160979039313,302,6,-1,227.96,timer,electric car
16,187.48,33.342845793702715,0.003382565377261656,2,3,-1,187.48,timer,car
16,161.63,33.33940885187878,0.0025062564194013913,603,0,-1,161.63,timer,car
16,111.17,33.33931705929857,0.0035884089949471064,303,6,-1,111.17,timer,car
16,94.52,33.33419054205281,0.0006045684725815787,3,3,-1,94.52,timer,car
16,77.43,33.334494995706336,0.0010001382275314052,604,0,-1,77.43,timer,car
16,25.84,33.333638594917545,0.0007875769740813785,304,6,-1,25.84,timer,electric car
16.390068340496256,0,33.333333333333336,0,4,-1,-1,0,start,car
16.390068340496256,0,33.333333333333336,0,4,3,-1,0,enter lane,car
16.452587373691312,0,33.333333333333336,0,605,-1,-1,0,start,car
16.452587373691312,0,33.333333333333336,0,605,0,-1,0,enter lane,car
17,477.91,33.422905572772756,0.009575974364706707,300,6,-1,477.91,timer,electric car
17,459.23,33.3829822261019,0.005851641613230998,600,0,-1,459.23,timer,electric car
17,443.68,33.35457466980362,0.002667775352527468,0,3,-1,443.68,timer,car
17,390.46,33.365875126552325,0.004803182108146598,601,0,-1,390.46,timer,car
17,369.44,33.360169952505515,0.003809261553995095,301,6,-1,369.44,timer,HGV
17,345.92,33.33533873416705,0.0003864545005819538,1,3,-1,345.92,timer,car
17,265.91,33.33324484456785,-2.2185610041225175e-05,602,0,-1,265.91,timer,electric car
17,261.3,33.34440825630432,0.0028259635177069592,302,6,-1,261.3,timer,electric car
17,220.83,33.346529063316495,0.003983973850313693,2,3,-1,220.83,timer,car
17,194.97,33.34217357682201,0.0030231934670623727,603,0,-1,194.97,timer,car
17,144.51,33.343443455794535,0.0046643839969652875,303,6,-1,144.51,timer,car
17,127.85,33.33490170738732,0.0008177621964312336,3,3,-1,127.85,timer,car
17,110.77,33.33571040226342,0.0014306748866394932,604,0,-1,110.77,timer,car
17,59.17,33.33493416038592,0.0018035539626643938,304,6,-1,59.17,timer,electric car
17,20.33,33.333377526765155,0.00014491273285941177,4,3,-1,20.33,timer,car
17,18.25,33.3334456513142,0.0004103594819300827,605,0,-1,18.25,timer,car
17.857652388099964,0,33.333333333333336,0,305,-1,-1,0,start,car
17.857652388099964,0,33.333333333333336,0,305,6,-1,0,enter lane,car
18,511.34,33.43248154713746,0.009575974364706707,300,6,-1,511.34,timer,electric car
18,492.62,33.388833867715135,0.005851641613230998,600,0,-1,492.62,timer,electric car
18,477.04,33.357242445156146,0.002667775352527468,0,3,-1,477.04,timer,car
18,423.83,33.37067830866047,0.004803182108146598,601,0,-1,423.83,timer,car
18,402.8,33.36397921405951,0.003809261553995095,301,6,-1,402.8,timer,HGV
18,379.26,33.335728101201624,0.00038949082926133146,1,3,-1,379.26,timer,car
18,299.24,33.333221268382154,-2.4966761355550624e-05,602,0,-1,299.24,timer,electric car
18,294.65,33.34741449353192,0.003186510937509987,302,6,-1,294.65,timer,electric car
18,254.18,33.35081374140333,0.004585382323365729,2,3,-1,254.18,timer,car
18,228.31,33.34545523881291,0.003540130514723354,603,0,-1,228.31,timer,car
18,177.86,33.34864582729251,0.005740358998983469,303,6,-1,177.86,timer,car
18,161.19,33.33582606644568,0.0010309559202808885,3,3,-1,161.19,timer,car
18,144.11,33.33735634547962,0.0018612115457475812,604,0,-1,144.11,timer,car
18,92.51,33.33724570284287,0.002819530951247409,304,6,-1,92.51,timer,electric car
18,53.66,33.333641233735534,0.00038250120789826543,4,3,-1,53.66,timer,car
18,51.58,33.33423082812972,0.0011599941491046747,605,0,-1,51.58,timer,car
18,4.74,33.333336260639925,4.112898772896525e-05,305,6,-1,4.74,timer,car
19,544.78,33.44205752150217,0.009575974364706707,300,6,-1,544.78,timer,electric car
19,526.01,33.39468550932837,0.005851641613230998,600,0,-1,526.01,timer,electric car
19,510.4,33.359910220508674,0.002667775352527468,0,3,-1,510.4,timer,car
19,457.2,33.37548149076862,0.004803182108146598,601,0,-1,457.2,timer,car
19,436.17,33.36778847561351,0.003809261553995095,301,6,-1,436.17,timer,HGV
19,412.6,33.33611759203089,0.00038949082926133146,1,3,-1,412.6,timer,car
19,332.57,33.33319491104514,-2.7747912669876073e-05,602,0,-1,332.57,timer,electric car
19,328.0,33.35078127817933,0.003547058357313015,302,6,-1,328.0,timer,electric car
19,287.53,33.355699827963214,0.005186790796417765,2,3,-1,287.53,timer,car
19,261.66,33.349253837851464,0.004057067562384335,603,0,-1,261.66,timer,car
19,211.21,33.354924173792504,0.00681633400100165,303,6,-1,211.21,timer,car
19,194.53,33.33696361922788,0.0012441496441305433,3,3,-1,194.53,timer,car
19,177.45,33.33943282535492,0.002291748204855669,604,0,-1,177.45,timer,car
19,125.85,33.34057322228841,0.0038355079398304246,304,6,-1,125.85,timer,electric car
19,86.99,33.33414252918095,0.0006200896829371191,4,3,-1,86.99,timer,car
19,84.91,33.33576563961241,0.0019096288162792669,605,0,-1,84.91,timer,car
19,38.07,33.333521856356604,0.0003300624456211028,305,6,-1,38.07,timer,car
19.864420678666356,0,33.333333333333336,0,606,-1,-1,0,start,HGV
19.864420678666356,0,33.333333333333336,0,606,0,-1,0,enter lane,HGV
20,578.23,33.45163349586688,0.009575974364706707,300,6,-1,578.23,timer,electric car
20,559.41,33.4005371509416,0.005851641613230998,600,0,-1,559.41,timer,electric car
20,543.76,33.3625779958612,0.002667775352527468,0,3,-1,543.76,timer,car
